                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.71514,                0.81003,                 1.0265,                0.21135,                0.23756,                0.18201,                0.12946,                 1.0585,                 1.9343,                 1.3214,               0.001486,               0.001486,               0.001486
                     88,                0.70827,                0.81106,                 1.0376,                0.29359,                0.20332,                0.18081,                0.12724,                 1.0657,                 2.1251,                 1.3152,               0.001387,               0.001387,               0.001387
                     89,                0.72714,                0.82868,                 1.0276,                0.34062,                0.20077,                0.21289,                0.15627,                 1.0568,                 1.9574,                 1.3246,               0.001288,               0.001288,               0.001288
                     90,                0.60371,                0.68168,                0.92841,                0.30318,                0.19895,                0.19255,                0.14335,                 1.0925,                 1.9786,                 1.3675,               0.001189,               0.001189,               0.001189
                     91,                0.59715,                0.64515,                 0.9265,                  0.328,                 0.2125,                 0.2029,                0.15055,                 1.0987,                 1.9295,                 1.3732,                0.00109,                0.00109,                0.00109
                     92,                 0.5935,                0.59973,                0.92866,                0.30951,                0.20182,                 0.1958,                0.14263,                 1.0726,                  1.972,                 1.3476,               0.000991,               0.000991,               0.000991
                     93,                0.58399,                0.58568,                0.91761,                0.24824,                0.20836,                0.18951,                0.14093,                  1.071,                 2.0259,                 1.3347,               0.000892,               0.000892,               0.000892
                     94,                0.57175,                0.57116,                0.91397,                0.40391,                0.17719,                 0.2079,                0.15419,                 1.0676,                 1.9392,                 1.3559,               0.000793,               0.000793,               0.000793
                     95,                0.58313,                0.58095,                0.91324,                0.34053,                0.20371,                0.19058,                0.13837,                 1.0634,                 1.9507,                 1.3659,               0.000694,               0.000694,               0.000694
                     96,                0.56968,                0.55313,                0.90868,                0.33609,                0.18609,                0.19831,                 0.1428,                  1.073,                  2.077,                 1.3654,               0.000595,               0.000595,               0.000595
                     97,                0.56524,                0.53275,                0.91331,                0.30154,                0.20662,                0.20185,                0.14644,                 1.0703,                 2.0471,                 1.3612,               0.000496,               0.000496,               0.000496
                     98,                0.55768,                0.53224,                0.90568,                0.31148,                0.20693,                0.19253,                0.13925,                 1.0487,                 2.1041,                 1.3498,               0.000397,               0.000397,               0.000397
                     99,                0.54242,                0.51071,                0.89496,                0.32505,                0.19423,                0.19276,                0.14104,                 1.0545,                 2.0035,                 1.3547,               0.000298,               0.000298,               0.000298
